
Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6

Server listening on 0.0.0.0:50051 CQs: 40 Threads: 40 NUMA: 0 Prepost: 1
E0212 10:40:48.662620912   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 99, r = 192
E0212 10:40:48.662627277   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 100, r = 192
E0212 10:40:48.662633918   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 101, r = 192
E0212 10:40:48.662640273   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 102, r = 192
E0212 10:40:48.662646778   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 103, r = 192
E0212 10:40:48.662653088   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 104, r = 192
E0212 10:40:48.662659323   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 105, r = 192
E0212 10:40:48.662665588   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 106, r = 192
E0212 10:40:48.662671826   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 107, r = 192
E0212 10:40:48.662678090   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 108, r = 192
E0212 10:40:48.662684541   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 109, r = 192
E0212 10:40:48.662690857   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 110, r = 192
E0212 10:40:48.662697156   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 111, r = 192
E0212 10:40:48.662703641   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 112, r = 192
E0212 10:40:48.662709975   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 113, r = 192
E0212 10:40:48.662716292   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 114, r = 192
E0212 10:40:48.662722541   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 115, r = 192
E0212 10:40:48.662729026   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 116, r = 192
E0212 10:40:48.662735294   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 117, r = 192
E0212 10:40:48.662741612   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 118, r = 192
E0212 10:40:48.662748005   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 119, r = 192
E0212 10:40:48.662754336   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 120, r = 192
E0212 10:40:48.662760629   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 121, r = 192
E0212 10:40:48.662766971   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 122, r = 192
E0212 10:40:48.662773243   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 123, r = 192
E0212 10:40:48.662779731   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 124, r = 192
E0212 10:40:48.662786016   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 125, r = 192
E0212 10:40:48.662792378   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 126, r = 192
E0212 10:40:48.662798638   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 127, r = 192
E0212 10:40:48.662805150   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 128, r = 192
E0212 10:40:48.662811382   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 129, r = 192
E0212 10:40:48.662817737   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 130, r = 192
E0212 10:40:48.662823998   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 131, r = 192
E0212 10:40:48.662830498   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 132, r = 192
E0212 10:40:48.662836768   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 133, r = 192
E0212 10:40:48.662843107   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 134, r = 192
E0212 10:40:48.662850801   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 135, r = 192
E0212 10:40:48.662857236   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 136, r = 192
E0212 10:40:48.662863501   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 137, r = 192
E0212 10:40:48.662869960   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 138, r = 192
E0212 10:40:48.662876240   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 139, r = 192
E0212 10:40:48.662882559   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 140, r = 192
E0212 10:40:48.662888814   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 141, r = 192
E0212 10:40:48.662895355   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 142, r = 192
E0212 10:40:48.662901635   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 143, r = 192
E0212 10:40:48.662907965   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 144, r = 192
E0212 10:40:48.662914214   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 145, r = 192
E0212 10:40:48.662920535   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 146, r = 192
E0212 10:40:48.662926939   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 147, r = 192
E0212 10:40:48.662933274   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 148, r = 192
E0212 10:40:48.662939542   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 149, r = 192
E0212 10:40:48.662946054   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 150, r = 192
E0212 10:40:48.662952309   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 151, r = 192
